开始	850	937
专家	1362	967
下一页	1649	427
主页	795	844
城堡	537	268
简单	639	409
放气	1293	451
好的	970	760
村子1	983	342	
左一升级	334	488
左二升级	335	639
左三升级	335	786
村子2	858	354
魔法猴	786	446
右一升级	1555	499
右二升级	1562	634
右三升级	1567	789
昆西	865	442
炼金	937	417
潜艇1	1092	418
潜艇2	1097	324
左出售	341	912
下页	961	896
外开始	376	434
界面开始	979	1007
准备点	844	799
